id,name,displayName,type,category,width,height,hostilidad,subtipo,movilidad
7,axolotl,Axolotl,animal,Passive mobs,0.75,0.42,pasivos,animal,nadador
26,cod,Cod,water_creature,Passive mobs,0.5,0.3,pasivos,animal,nadador
33,dolphin,Dolphin,passive,Passive mobs,0.9,0.6,pasivos,animal,nadador
59,glow_squid,Glow Squid,passive,Passive mobs,0.8,0.8,pasivos,animal,nadador
102,pufferfish,Pufferfish,water_creature,Passive mobs,0.7,0.7,pasivos,animal,nadador
105,salmon,Salmon,water_creature,Passive mobs,0.7,0.4,pasivos,animal,nadador
122,squid,Squid,passive,Passive mobs,0.8,0.8,pasivos,animal,nadador
125,tadpole,Tadpole,water_creature,Passive mobs,0.4,0.3,pasivos,animal,nadador
131,tropical_fish,Tropical Fish,water_creature,Passive mobs,0.5,0.4,pasivos,animal,nadador
132,turtle,Turtle,animal,Passive mobs,1.2,0.4,pasivos,animal,nadador
